# Species	Genes	Alg.-Conn.	GCA_001553005.1_ASM155300v1_protein.faa	GCA_001553035.1_ASM155303v1_protein.faa	GCF_000019245.4_ASM1924v3_protein.faa	GCF_000027145.1_ASM2714v1_protein.faa	GCF_000063585.1_ASM6358v1_protein.faa	GCF_000145215.1_ASM14521v1_protein.faa	GCF_000166335.1_ASM16633v1_protein.faa	GCF_000166355.1_ASM16635v1_protein.faa	GCF_000166775.1_ASM16677v1_protein.faa	GCF_000196035.1_ASM19603v1_protein.faa	GCF_000242855.2_ASM24285v2_protein.faa	GCF_000473245.1_ASM47324v1_protein.faa	GCF_000763515.1_ASM76351v1_protein.faa	GCF_000769555.1_ASM76955v1_protein.faa	GCF_000829055.1_ASM82905v1_protein.faa	GCF_001042715.1_ASM104271v1_protein.faa	GCF_001050475.1_ASM105047v1_protein.faa	GCF_001687565.2_ASM168756v2_protein.faa	GCF_001687585.2_ASM168758v2_protein.faa	GCF_001687665.2_ASM168766v2_protein.faa	GCF_001951175.1_ASM195117v1_protein.faa	GCF_001971585.1_ASM197158v1_protein.faa	GCF_002009235.1_ASM200923v1_protein.faa	GCF_002706745.1_ASM270674v1_protein.faa	GCF_003606265.1_ASM360626v1_protein.faa	GCF_003614235.1_ASM361423v1_protein.faa	GCF_003641145.1_ASM364114v1_protein.faa	GCF_003641185.1_ASM364118v1_protein.faa	GCF_003999255.1_ASM399925v1_protein.faa	GCF_004103615.1_ASM410361v1_protein.faa	GCF_004785625.2_ASM478562v2_protein.faa	GCF_006007945.1_ASM600794v1_protein.faa	GCF_007954525.1_ASM795452v1_protein.faa	GCF_007954605.1_ASM795460v1_protein.faa	GCF_007954785.1_ASM795478v1_protein.faa	GCF_009648575.1_ASM964857v1_protein.faa	GCF_009913915.1_ASM991391v1_protein.faa	GCF_012396635.1_ASM1239663v1_protein.faa	GCF_014042035.1_ASM1404203v1_protein.faa	GCF_015234765.1_ASM1523476v1_protein.faa	GCF_016127255.1_ASM1612725v1_protein.faa	GCF_018363075.1_ASM1836307v1_protein.faa	GCF_900120125.1_PRJEB18020_protein.faa	GCF_900187165.1_52121_G02_protein.faa	GCF_900638015.1_54984_A01_protein.faa
33	40	0.282	KXB54987.1	KXB60321.1	WP_013245487.1	WP_012984950.1	WP_003358881.1	*	*	*	*	NP_464088.1	WP_003153413.1,WP_015387545.1	WP_009794817.1	WP_025279768.1	WP_003153413.1,WP_014419156.1	WP_025012770.1	WP_044823251.1,WP_044825585.1	WP_048706225.1	WP_006828546.1	WP_008497671.1	WP_065526778.1	*	WP_076616371.1	WP_058385838.1,WP_071154520.1	WP_010020403.1	WP_066677000.1	WP_003376355.1	WP_171284604.1	WP_175365124.1	*	WP_046129855.1,WP_046131531.1,WP_173427508.1	WP_112224398.1	WP_057814795.1	*	*	*	WP_045554404.1	*	WP_031550855.1	WP_043926775.1,WP_182070271.1	WP_179940624.1	*	*	WP_062171722.1	WP_089864277.1	WP_126320348.1
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000513.1	*	WP_146992998.1	*	WP_102753642.1	*	*	*	WP_010277995.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000514.1	*	WP_146992995.1	*	WP_102753641.1	*	*	*	WP_010278000.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000515.1	*	WP_146992992.1	*	WP_102753640.1	*	*	*	WP_010278005.1	*	*	*	*
5	5	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000516.1	WP_147001362.1	WP_146992990.1	*	WP_160215240.1	*	*	*	WP_010278007.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000518.1	*	WP_146992985.1	*	WP_102753637.1	*	*	*	WP_010278014.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000523.1	*	WP_031559789.1	*	WP_031559789.1	*	*	*	WP_010278045.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000524.1	*	WP_024047521.1	*	WP_024047521.1	*	*	*	WP_010278047.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000526.1	*	WP_135400511.1	*	WP_135400511.1	*	*	*	WP_010278051.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000528.1	*	WP_146993019.1	*	WP_135400509.1	*	*	*	WP_010278060.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000529.1	*	WP_031559778.1	*	WP_031559778.1	*	*	*	WP_031940991.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000532.1	*	WP_135400513.1	*	WP_160215237.1	*	*	*	WP_031940988.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000533.1	*	WP_146993023.1	*	WP_002816178.1	*	*	*	WP_010278043.1	*	*	*	*
5	5	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_167317320.1	WP_010000837.1	WP_004899099.1	*	WP_002815813.1	*	*	*	WP_010278119.1	*	*	*	*
4	4	0.146	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_186727194.1	WP_010003999.1	WP_004904363.1	*	*	*	*	*	WP_210727933.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_186727204.1	*	WP_180384668.1	*	WP_201752622.1	*	*	*	WP_188352239.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_186727205.1	*	WP_164481475.1	*	WP_010015789.1	*	*	*	WP_010278065.1	*	*	*	*
4	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129526.1	*	WP_146993012.1	*	*	*	*	WP_179940959.1	*	*	WP_159428396.1	*	*
5	5	1	KXB55623.1	KXB62148.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_031553116.1	*	WP_179940654.1	*	*	WP_062174090.1	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_186727984.1	*	*	*	*	WP_228098633.1	*	*	*	*	*
3	3	1	*	KXB64318.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_004901606.1	*	*	WP_006364287.1	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_029509756.1	*	*	WP_011680036.1	*	*	*	*	*	*	*	*
4	7	0.143	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_048702081.1	WP_146955643.1,WP_146992726.1	*	WP_014324711.1,WP_146955643.1	*	*	*	WP_004915898.1,WP_010294007.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_048702090.1	WP_146992710.1	*	WP_146955673.1	*	*	*	*	*	*	*	*
3	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_068852129.1	WP_004907665.1,WP_146992576.1	*	WP_010295542.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_141309043.1	WP_013102170.1	*	WP_150288712.1	*	*	*	*	*	*	*	*
3	3	0.333	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000595.1	WP_146992540.1	*	WP_160215156.1	*	*	*	*	*	*	*	*
5	5	0.4	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_041773221.1	WP_147000648.1	WP_085698861.1	*	WP_011679436.1	*	*	*	WP_010281446.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000809.1	WP_085699325.1	*	WP_011680421.1	*	*	*	WP_010290824.1	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000867.1	WP_085699429.1	*	WP_011680509.1	*	*	*	WP_010278767.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001034.1	*	*	WP_160215122.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001042.1	*	*	WP_160215127.1	*	*	*	WP_010276512.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001175.1	*	*	WP_105296149.1	*	*	*	WP_010291843.1	*	*	*	*
4	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001213.1	WP_146992568.1	*	WP_011679947.1	*	*	*	WP_010291515.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001244.1	*	*	WP_025268157.1	*	*	*	WP_168441469.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001307.1	WP_146992668.1	*	WP_160215176.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001308.1	WP_146992678.1	*	WP_150288707.1	*	*	*	*	*	*	*	*
3	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001309.1	WP_146992682.1,WP_146992785.1	*	WP_160215177.1	*	*	*	*	*	*	*	*
3	4	0.146	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001311.1	WP_146992693.1,WP_243130165.1	*	WP_150288713.1	*	*	*	*	*	*	*	*
3	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001312.1	WP_146992695.1,WP_243130166.1	*	WP_150288714.1	*	*	*	*	*	*	*	*
3	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001315.1	WP_146992702.1,WP_146992791.1	*	WP_150288717.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001316.1	WP_146992704.1	*	WP_150288718.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001317.1	WP_002814593.1	*	WP_150288719.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001322.1	WP_146992721.1	*	WP_146955668.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001342.1	*	*	WP_105296160.1	*	*	*	WP_010294067.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001346.1	WP_146955642.1	*	WP_146955642.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001347.1	WP_011679788.1	*	WP_010002619.1	*	*	*	*	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001354.1	WP_146992647.1	*	WP_160215170.1	*	*	*	WP_168441557.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955641.1	*	WP_160215171.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129762.1	WP_146992670.1	*	WP_013102158.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129763.1	WP_146992676.1	*	WP_150288706.1	*	*	*	*	*	*	*	*
3	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129765.1	WP_139988062.1,WP_146992691.1	*	WP_004915935.1	*	*	*	*	*	*	*	*
3	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129766.1	WP_139988054.1,WP_146992719.1	*	WP_146955669.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_004903368.1	*	WP_002816182.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014335262.1	*	WP_146993001.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014973721.1	*	WP_085699424.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014973863.1	*	WP_085699626.1	*	WP_011679269.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014973942.1	*	WP_243130146.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014974613.1	*	WP_004906698.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014974692.1	WP_068850531.1	WP_085698755.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000486.1	*	WP_186727980.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000530.1	*	WP_146993016.1	*	WP_010015791.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_223824453.1	*	WP_223246005.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243128893.1	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_179940140.1	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146992636.1	*	*	*	*	*	*	*	WP_072520128.1	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013102143.1	*	*	*	WP_013102143.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014974369.1	*	*	*	WP_011679642.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014974944.1	*	*	*	WP_010296022.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129531.1	*	*	*	WP_010276717.1	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_029510285.1	WP_004904375.1	*	*	*	*	*	WP_010287354.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_029510305.1	WP_146992880.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_077282016.1	WP_012305011.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_077282018.1	WP_040176521.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_077283016.1	WP_133424610.1	*	*	*	*	*	WP_010276282.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_083203353.1	WP_243130139.1	*	*	*	*	*	WP_031941276.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_095652255.1	WP_146992913.1	*	*	*	*	*	*	*	*	*	*
3	4	0.5	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146975069.1,WP_147001048.1	WP_040177058.1	*	*	*	*	*	WP_010276479.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000594.1	WP_243130152.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000818.1	WP_024047568.1	*	*	*	*	*	WP_010290801.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000857.1	WP_004908230.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000926.1	WP_004904992.1	*	*	*	*	*	WP_010276132.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147000998.1	WP_048801607.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001044.1	WP_040177063.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001142.1	WP_139988312.1	*	*	*	*	*	WP_031941004.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001297.1	WP_004901624.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001305.1	WP_146992664.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_147001349.1	WP_146992649.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_181407100.1	WP_146992911.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129761.1	WP_223246008.1	*	*	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129771.1	WP_223246003.1	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_243129773.1	WP_139988214.1	*	*	*	*	*	WP_010276358.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_179941806.1	WP_010292178.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_179941811.1	WP_010292192.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_179941941.1	WP_243282483.1	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_228098619.1	WP_228934211.1	*	*	*	*
4	6	0.185	*	KXB60698.1	*	*	*	*	WP_238525043.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_179941570.1,WP_179942022.1,WP_179942078.1	*	*	WP_159428385.1	*	*
2	2	1	*	*	*	*	*	*	WP_049778026.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_179942059.1	*	*	*	*	*
4	4	1	*	KXB59708.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014974990.1	*	*	*	*	WP_031551555.1	*	WP_179939908.1	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_004902267.1	*	WP_010287976.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_139968325.1	*	WP_146955670.1	*	*	*	*	*	*	*	*
2	2	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955619.1	*	WP_150288700.1	*	*	*	*	*	*	*	*
3	4	0.25	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955620.1	*	WP_150288699.1	*	*	*	WP_010291496.1,WP_010291566.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955625.1	*	WP_150288693.1	*	*	*	WP_010291591.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955626.1	*	WP_150288691.1	*	*	*	WP_010291587.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955627.1	*	WP_010385861.1	*	*	*	WP_010291586.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955628.1	*	WP_150288690.1	*	*	*	WP_004906402.1	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_146955632.1	*	WP_150288688.1	*	*	*	WP_168441545.1	*	*	*	*
